Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10011,Lopez,Christian,05/14/1994,Blk 3 Lot 12 San Roque Marikina City,917-885-663,26-7789042-1,118992334450,332-114-556-000,889001223344,Regular,HR Staff,Santos Clarence Joy,26000.0,1500.0,1000.0,1000.0,13000.0,154.76
10012,Flores,Janine Marie,09/30/1997,Unit 10C Maple Residences Quezon City,905-338-772,29-5512388-4,443229988770,881-339-227-000,110022334455,Regular,Recruitment Staff,Santos Clarence Joy,26000.0,1500.0,1000.0,1000.0,13000.0,154.76
10013,Castillo,Andrew Paul,12/02/1992,Phase 1 Block 8 Lot 6 Dasmarinas Cavite,916-772-994,31-9981123-9,667788990011,773-441-998-000,223344556677,Regular,Finance Analyst,Aquino Bianca Sofia,35000.0,1500.0,1000.0,1000.0,17500.0,208.33
10014,Mendoza,Rachel Ann,04/18/1996,Blk 4 Lot 10 Southville Laguna,918-445-221,42-8833119-5,112233445566,998-221-774-000,334455667788,Regular,Accounts Payable,Aquino Bianca Sofia,30000.0,1500.0,1000.0,1000.0,15000.0,178.57
10015,Perez,Daniel,08/07/1991,Lot 15 Blk 6 Trece Martires Cavite,927-991-004,33-7722001-6,889900112233,221-998-665-000,445566778899,Regular,System Administrator,Hernandez Eduard,40000.0,1500.0,1000.0,1000.0,20000.0,238.10
10016,Gonzales,Michelle,10/21/1998,Unit 12B Azure Residences Taguig City,915-334-900,36-4455667-2,556677889900,774-332-118-000,556677889911,Regular,UI Designer,Reyes Isabella,30000.0,1500.0,1000.0,1000.0,15000.0,178.57
10017,Domingo,Kevin,01/09/1993,Blk 9 Lot 3 Golden City Bulacan,919-448-221,45-9911223-8,334455667788,113-889-447-000,667788990022,Regular,Web Developer,Hernandez Eduard,38000.0,1500.0,1000.0,1000.0,19000.0,226.19
10018,Villanueva,Paolo,06/11/1990,Lot 18 Blk 2 New Manila Quezon City,917-882-100,48-7744112-9,990011223344,881-665-992-000,778899001133,Regular,Network Engineer,Hernandez Eduard,42000.0,1500.0,1000.0,1000.0,21000.0,250.00
10019,Cruz,Stephanie,02/03/1997,Unit 6A Cityland Makati City,906-113-445,41-2233445-0,223344556677,554-113-889-000,889900112244,Regular,Digital Marketer,Reyes Isabella,28000.0,1500.0,1000.0,1000.0,14000.0,166.67
10020,Alvarez,Ronald,09/17/1988,Blk 7 Lot 14 Angeles Pampanga,905-998-331,39-5511229-3,778899001122,331-998-441-000,990011223355,Regular,Warehouse Supervisor,Lim Antonio,36000.0,1500.0,1000.0,1000.0,18000.0,214.29
10021,Padilla,Mark Joseph,12/15/1994,Lot 11 Blk 5 Caloocan City,918-441-772,47-8899001-4,445566778899,117-442-663-000,112233445599,Regular,Logistics Staff,Alvarez Ronald,26000.0,1500.0,1000.0,1000.0,13000.0,154.76
10022,Ortiz,Lianne,07/01/1999,Unit 8D SMDC Light Residences Mandaluyong,917-300-188,49-6677881-6,556677889922,663-118-774-000,223344556600,Regular,Customer Support Lead,Lim Antonio,32000.0,1500.0,1000.0,1000.0,16000.0,190.48
10023,Reyes,Noel,11/04/1987,Blk 10 Lot 2 Valenzuela City,905-227-991,53-9911228-5,667788990044,442-775-118-000,334455667700,Regular,Customer Support Rep,Ortiz Lianne,24000.0,1500.0,1000.0,1000.0,12000.0,142.86
10024,Salazar,Kimberly,03/29/1998,Unit 4A Trees Residences Quezon City,916-882-411,55-3322119-0,889900112266,889-224-551-000,445566778811,Regular,Customer Support Rep,Ortiz Lianne,24000.0,1500.0,1000.0,1000.0,12000.0,142.86
10025,Velasco,Henry,05/06/1991,Blk 2 Lot 7 Imus Cavite,918-441-330,57-6611224-3,990011223366,552-991-118-000,556677889933,Regular,Quality Assurance Lead,Lim Antonio,35000.0,1500.0,1000.0,1000.0,17500.0,208.33
10026,Manalo,Jessa Mae,01/26/1999,Unit 2C Amaia Steps Pasig City,917-224-998,58-4499007-1,112233445588,774-552-331-000,667788990044,Regular,QA Analyst,Velasco Henry,28000.0,1500.0,1000.0,1000.0,14000.0,166.67
10027,Fuentes,Alex,08/19/1993,Lot 6 Blk 4 San Mateo Rizal,905-771-220,60-3377991-9,223344556699,998-441-662-000,778899001155,Regular,Operations Analyst,Lim Antonio,33000.0,1500.0,1000.0,1000.0,16500.0,196.43
10028,Miranda,Olivia,10/30/1997,Unit 9A One Eastwood Quezon City,918-991-772,61-9988772-0,334455667799,661-772-998-000,889900112266,Regular,Data Analyst,Aquino Bianca Sofia,36000.0,1500.0,1000.0,1000.0,18000.0,214.29
10029,Panganiban,Eric,06/08/1989,Blk 6 Lot 11 Batangas City,916-552-881,63-1133449-8,445566778800,119-662-441-000,990011223366,Regular,Facilities Manager,Lim Antonio,38000.0,1500.0,1000.0,1000.0,19000.0,226.19
10030,Rivera,Nicole,04/14/1998,Unit 7B Fame Residences Mandaluyong,905-881-220,64-4422998-6,556677889911,331-224-778-000,112233445577,Regular,Admin Assistant,Santos Clarence Joy,25000.0,1500.0,1000.0,1000.0,12500.0,148.81
10031,Torres,James,09/05/1992,Lot 10 Blk 8 San Pedro Laguna,918-772-441,65-7788993-4,667788990055,882-551-339-000,223344556688,Regular,Procurement Officer,Lim Antonio,34000.0,1500.0,1000.0,1000.0,17000.0,202.38
10032,Uy,Michelle Grace,02/11/1996,Unit 11C Princeton Residences Quezon City,917-339-550,66-9900118-7,778899001166,994-661-882-000,334455667799,Regular,Inventory Clerk,Torres James,26000.0,1500.0,1000.0,1000.0,13000.0,154.76
10033,Co,Patrick,07/22/1988,Blk 4 Lot 5 BF Homes Paranaque,905-224-667,67-4455668-2,889900112277,118-774-993-000,445566778822,Regular,Compliance Officer,Garcia Manuel III,42000.0,1500.0,1000.0,1000.0,21000.0,250.00
10034,Yap,Samantha,12/09/1999,Unit 15A Victoria de Manila Sampaloc,918-667-992,68-2233117-5,990011223388,552-119-884-000,556677889944,Regular,Junior Auditor,Aquino Bianca Sofia,28000.0,1500.0,1000.0,1000.0,14000.0,166.67
